id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,timestamp,rsi,ema20,ema50,volume_avg,EMA_bullish,Volume_surge,RSI_momentum,RSI_overbought,Price_dropping_below_ema20,Volume_high,signal
polyhedra-network,zkj,2.01,619804878,8956675909.0,0.71347,2025-06-13 01:30:46.466240,48.099851473459076,2712.9270254720946,5587.966457716948,1342759137.7142856,False,True,False,False,True,True,strong
solv-protocol-solvbtc-bbn,xsolvbtc,103174.0,586539939,962295.0,-4.92622,2025-06-13 01:30:46.466240,78.80313457332018,11314.627859419725,8441.738934154122,1312463905.0,True,False,True,False,False,False,strong
pudgy-penguins,pengu,0.00917563,577909633,119364257.0,-17.77963,2025-06-13 01:30:46.466240,48.13578461322469,7584.317717614354,7194.547555348839,46409782.85714286,False,True,False,False,True,True,strong
pendle,pendle,3.55,577334551,151850421.0,-9.89156,2025-06-13 01:30:46.466240,48.13671606254388,6862.33983974632,6912.547651217512,62704789.14285714,False,True,False,False,True,True,strong
l2-standard-bridged-weth-base,weth,2496.52,532341266,869559941.0,-9.7676,2025-06-13 01:30:46.466240,49.17666903239516,3840.812964013728,5413.800134486647,140384016.57142857,False,True,False,False,True,True,strong
bitcoin-avalanche-bridged-btc-b,btc.b,103230.0,502631696,12635092.0,-4.91436,2025-06-13 01:30:46.466240,76.37903391453528,12330.490715272317,8494.165403093553,181410260.9242857,True,False,True,False,False,False,strong
syrup,syrup,0.46032,496601210,117256093.0,-5.95111,2025-06-13 01:30:46.466240,48.11712034447987,11156.202106198763,8161.078929246748,73938282.63857143,False,True,False,False,True,True,strong
tbtc,tbtc,103146.0,488961288,5908994.0,-4.84215,2025-06-13 01:30:46.466240,65.12168123462106,17476.22540817632,11086.491041084737,133684090.14285715,True,False,False,False,False,False,strong
grass,grass,1.52,439116957,78150549.0,-13.85358,2025-06-13 01:30:46.466240,48.133228760807434,7103.038064822318,7736.189739039721,37280469.71428572,False,True,False,False,True,True,strong
based-brett,brett,0.04333658,429894008,48991338.0,-19.59015,2025-06-13 01:30:46.466240,48.13283859839201,5263.782249979682,6862.68379997554,26597611.0,False,True,False,False,True,True,strong
ripple-usd,rlusd,0.999773,413662749,188607861.0,0.00149,2025-06-13 01:30:46.466240,48.13317678978698,3898.687181610263,6086.624459566264,54023158.28571428,False,True,False,False,True,True,strong
starknet,strk,0.11769,394915869,42483789.0,-14.10139,2025-06-13 01:30:46.466240,48.13287175113467,1753.637948211061,4421.021263130234,15986551.388571428,False,True,False,False,True,True,strong
arweave,ar,6.02,394261568,42013382.0,-12.09664,2025-06-13 01:30:46.466240,48.13712202052019,1587.1981436195313,4247.883958693754,21988420.285714287,False,True,False,False,True,True,strong
keeta,kta,0.965884,388140538,43131844.0,-24.77898,2025-06-13 01:30:46.466240,48.13351967613849,1175.7740307245833,3767.5816824456324,25845622.714285713,False,True,False,False,True,True,strong
eigenlayer,eigen,1.25,386029996,134507975.0,-18.37728,2025-06-13 01:30:46.466240,48.13379483359301,1063.9145992270041,3619.8824007810977,45031836.428571425,False,True,False,False,True,True,strong
conflux-token,cfx,0.073476,374988679,33840054.0,-10.02537,2025-06-13 01:30:46.466240,48.134387729268724,735.919903104372,2832.375074375551,15601742.142857144,False,True,False,False,True,True,strong
axie-infinity,axs,2.27,369617607,47689575.0,-11.37955,2025-06-13 01:30:46.466240,48.13910299882214,816.4001020877058,2708.1436038353318,15699972.0,False,True,False,False,True,True,strong
movement,move,0.137399,357780919,54494464.0,-9.27139,2025-06-13 01:30:46.466240,48.13606455202028,738.6607970317339,2601.9472820770834,20051904.57142857,False,True,False,False,True,True,strong
mog-coin,mog,8.79262e-07,345013004,39853259.0,-17.30846,2025-06-13 01:30:46.466240,48.13841446772551,603.7970790870436,2070.157463238805,23710788.14285714,False,True,False,False,True,True,strong
build-on,b,0.342111,343714329,78297129.0,-3.96784,2025-06-13 01:30:46.466240,48.13916607499952,546.325177364468,1988.9882337392442,30766812.14285714,False,True,False,False,True,True,strong
ether-fi,ethfi,1.039,342521898,161970113.0,-17.70568,2025-06-13 01:30:46.466240,48.14081481905943,494.3931604726139,1911.0294402592738,49125478.71428572,False,True,False,False,True,True,strong
kaito,kaito,1.39,336022412,99814407.0,-14.27682,2025-06-13 01:30:46.466240,48.14215783856346,404.8427348700989,1764.1395268499102,65163743.0,False,True,False,False,True,True,strong
just,jst,0.03207615,317625810,51400021.0,-6.01417,2025-06-13 01:30:46.466240,48.10504906784234,7116.404285205231,4958.474241189099,17694601.0,False,True,False,False,True,True,strong
zebec-network,zbcn,0.00385989,312308252,42745241.0,-14.75347,2025-06-13 01:30:46.466240,48.10500728741332,4770.459163967007,4226.027567375066,20693603.14285714,False,True,False,False,True,True,strong
ether-fi-staked-btc,ebtc,98357.0,309631563,160403.0,-9.47279,2025-06-13 01:30:46.466240,72.37104349399573,13272.48918211358,7758.248410145149,18144487.14285714,True,False,True,False,False,False,strong
ravencoin,rvn,0.02000366,306696407,216859001.0,-7.73572,2025-06-13 01:30:46.466240,48.132863312579794,12008.444498451334,7454.004158910438,41781484.28571428,False,True,False,False,True,True,strong
livepeer,lpt,7.27,301544394,117600071.0,-4.40557,2025-06-13 01:30:46.466240,48.134365698155456,8908.012987284821,6617.179225035122,56905516.71428572,False,True,False,False,True,True,strong
popcat,popcat,0.303972,298479378,66652333.0,-18.63278,2025-06-13 01:30:46.466240,48.13323329610396,6163.725649433274,5728.979353296274,37092101.85714286,False,True,False,False,True,True,strong
wrapped-avax,wavax,18.94,290923029,83315646.0,-11.45045,2025-06-13 01:30:46.466240,48.140506068856055,4140.812836716918,4886.600955102409,28868054.714285713,False,True,False,False,True,True,strong
polygon-pos-bridged-dai-polygon-pos,dai,0.99997,270828834,37374155.0,-0.00595,2025-06-13 01:30:46.466240,48.13366057351575,2271.7221762964145,3843.9672911272423,23752676.57142857,False,True,False,False,True,True,strong
abtc,abtc,100467.0,264264405,377723.0,-7.48106,2025-06-13 01:30:46.466240,77.0743014350018,11623.653397601518,7633.105828730096,11904401.857142856,True,False,True,False,False,False,strong
1inch,1inch,0.189365,263099345,38238815.0,-13.23524,2025-06-13 01:30:46.466240,48.14400228214466,10516.65682306804,7333.775771328916,15392077.857142856,False,True,False,False,True,True,strong
universal-btc,unibtc,101405.0,253152530,1919747.0,-5.00154,2025-06-13 01:30:46.466240,65.43576429532652,16867.425874502136,10301.464717011764,11474691.91857143,True,False,False,False,False,False,strong
pumpbtc,pumpbtc,96496.0,251081107,5892.77,-9.30658,2025-06-13 01:30:46.466240,59.195685627540385,22999.641271417848,13294.367568452613,6674856.314285715,True,False,False,False,False,False,strong
safe,safe,0.423252,250818488,10346183.0,-11.77627,2025-06-13 01:30:46.466240,48.1465007766898,20809.239555282813,12773.036418787806,2690194.6,False,True,False,False,True,True,strong
mx-token,mx,2.62,246939408,7527187.0,-3.07058,2025-06-13 01:30:46.466240,48.146738063600836,18827.656740493974,12272.235774913775,3421546.8857142855,False,True,False,False,True,True,strong
turbo,turbo,0.00355039,245652463,54430461.0,-16.07474,2025-06-13 01:30:46.466240,48.14645546054582,17034.546912865026,11790.971766108922,11197327.028571429,False,True,False,False,True,True,strong
